sample_id,prediction_date,regime_bucket,research_scope,independent_news_source_count,fundamental_ticker_coverage,fundamental_coverage_state,event_evidence_ready,fundamental_evidence_ready,eligible_for_full_kg_backtest,kg_backtest_state,future_return_1d,future_return_5d,future_return_20d,future_max_drawdown_20d
HIST-20091009,2009-10-09,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.00211872407618352,0.007062067763481394,0.0028250345996709836,-0.035781350829250935
HIST-20091019,2009-10-19,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.00023173127331843624,-0.005090948405113593,0.028928773231774008,-0.05207120024968226
HIST-20091120,2009-11-20,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.016114198649054057,0.002762196361055347,0.036717854110458914,0.0016112981196754195
HIST-20091201,2009-12-01,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0013632109491084066,-0.008407385472955942,0.05083045413060017,-0.008407385472955942
HIST-20100129,2010-01-29,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.010984063011324041,0.00444075969195179,0.06122938547383794,-0.003972910831194665
HIST-20100201,2010-02-01,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.009015288256824183,-0.013638471278058506,0.05293501842469017,-0.014794470446910735
HIST-20100203,2010-02-03,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.028935866144727873,-0.019822119899099544,0.0423785741903735,-0.028935866144727873
HIST-20100205,2010-02-05,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.007212942840755021,0.018147522595725718,0.08259607796488955,-0.007212942840755021
HIST-20100212,2010-02-12,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.012797328246040074,0.02239532443057013,0.07952481774766618,0.00914081947542611
HIST-20100317,2010-03-17,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0033567797508899933,0.008417746620491995,0.052727903876610416,-0.0027118025203030083
HIST-20100413,2010-04-13,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.011962687614596179,0.008718907273776333,-0.03244127888713377,-0.079277991529634
HIST-20100505,2010-05-05,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.03341639829510812,0.00913191565523519,-0.03092600023918768,-0.08260723330185826
HIST-20100615,2010-06-15,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.004068261276543472,-0.008185451590551285,-0.020849886089437053,-0.08725806943331516
HIST-20100715,2010-07-15,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.027631282315787264,0.0037285932812733957,-0.012280335218144867,-0.027631282315787264
HIST-20100730,2010-07-30,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.018773600684306446,0.020738305386045264,-0.037982729866244846,-0.04955219030597857
HIST-20100824,2010-08-24,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.009622057651903049,-0.004352443945470963,0.11807617825069938,-0.004352443945470963
HIST-20100825,2010-08-25,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.012026250254452475,0.015656985071426988,0.10696570373279402,-0.013841319621992643
HIST-20100910,2010-09-10,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.013948768423291735,0.03224043161368839,0.07009720026848076,0.013948768423291735
HIST-20101005,2010-10-05,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.008658496425035467,0.009062311550009694,0.06282742361200544,-0.008658496425035467
HIST-20101124,2010-11-24,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.0065887455769138015,0.011483578254499971,0.03254014902486535,-0.01939020451284712
HIST-20110127,2011-01-27,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.025358184527995875,-0.0020982518913199577,0.008220097337479748,-0.025358184527995875
HIST-20110217,2011-02-17,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.0022084851779530235,-0.02055707981364263,-0.07361827105065433,-0.08001998220265638
HIST-20110325,2011-03-25,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.005454144974030073,0.01090744749078687,0.029029009786443183,-0.010379992650709102
HIST-20110331,2011-03-31,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0005219602693180558,-0.0036569054941889556,0.028730554876511993,-0.02054678483919936
HIST-20110418,2011-04-18,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.006221950840110901,0.045688855249889526,0.023288996409862373,0.006221950840110901
