date,ticker,candidate_score,candidate_label,topic,risk_flags,observation_reason,sample_headline,entry_price,horizon,horizon_days,validated_at,actual_return,qqq_return,relative_qqq_return,success
2026-05-27,ON,96.21764998777925,高優先觀察,半導體設備,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,"ON Stock Price, Quote & Chart | ON SEMICONDUCTOR (NASDAQ:ON) - ChartMill",124.88999938964844,60D,60,,,,,
2026-05-27,GEO,89.23297370166125,高優先觀察,太空,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,First Rocket Lab GEO satellites: $90M Space Force Heimdall deal - Stock Titan,22.65999984741211,5D,5,2026-06-03,0.04148281290323874,0.020234436244598752,0.02124837665863999,True
2026-05-27,GEO,89.23297370166125,高優先觀察,太空,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,First Rocket Lab GEO satellites: $90M Space Force Heimdall deal - Stock Titan,22.65999984741211,20D,20,,,,,
2026-05-27,GEO,89.23297370166125,高優先觀察,太空,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,First Rocket Lab GEO satellites: $90M Space Force Heimdall deal - Stock Titan,22.65999984741211,60D,60,,,,,
2026-05-27,NVTS,87.54764424827273,高優先觀察,半導體設備,短線漲幅過大,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,Why NVTS Stock Is Extending Its Breakout Rally From Last Week - Yahoo Finance,28.8799991607666,5D,5,2026-06-03,0.06786707232609435,0.020234436244598752,0.047632636081495594,True
2026-05-27,NVTS,87.54764424827273,高優先觀察,半導體設備,短線漲幅過大,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,Why NVTS Stock Is Extending Its Breakout Rally From Last Week - Yahoo Finance,28.8799991607666,20D,20,,,,,
2026-05-27,NVTS,87.54764424827273,高優先觀察,半導體設備,短線漲幅過大,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,Why NVTS Stock Is Extending Its Breakout Rally From Last Week - Yahoo Finance,28.8799991607666,60D,60,,,,,
2026-05-27,ASML,86.36216370192155,高優先觀察,半導體設備,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,"ASML (ASML) Stock; Gains Slightly After Boosting Taiwan Hiring Target to 1,000 - MEXC",1597.8699951171875,5D,5,2026-06-03,0.08041329433997646,0.020234436244598752,0.06017885809537771,True
2026-05-27,ASML,86.36216370192155,高優先觀察,半導體設備,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,"ASML (ASML) Stock; Gains Slightly After Boosting Taiwan Hiring Target to 1,000 - MEXC",1597.8699951171875,20D,20,,,,,
2026-05-27,ASML,86.36216370192155,高優先觀察,半導體設備,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,"ASML (ASML) Stock; Gains Slightly After Boosting Taiwan Hiring Target to 1,000 - MEXC",1597.8699951171875,60D,60,,,,,
2026-05-27,KMX,77.43894174731025,可觀察,消費復甦,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,A Look At CarMax (KMX) Valuation After Retail Sector Rotation On Strong Earnings From Major U.S. Retailers - simplywall.st,42.2599983215332,5D,5,2026-06-03,0.08920966889491577,0.020234436244598752,0.06897523265031702,True
2026-05-27,KMX,77.43894174731025,可觀察,消費復甦,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,A Look At CarMax (KMX) Valuation After Retail Sector Rotation On Strong Earnings From Major U.S. Retailers - simplywall.st,42.2599983215332,20D,20,,,,,
2026-05-27,KMX,77.43894174731025,可觀察,消費復甦,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,A Look At CarMax (KMX) Valuation After Retail Sector Rotation On Strong Earnings From Major U.S. Retailers - simplywall.st,42.2599983215332,60D,60,,,,,
